category,R2,SMAPE,MAPE,N_features
Milk,0.861381372,0.060214664,0.061815504,30
Biscuits,0.848752899,0.072308533,0.075239763,30
Atta,0.739522936,0.090939508,0.094096417,30
Yogurt,0.709723963,0.098546489,0.033851189,45
Tea,0.786924523,0.106729109,0.066511268,15
WheatFlour,0.896087442,0.10282005,0.10860643,30
Soap,0.776645389,0.124838648,0.127371191,10
Rice,0.924084743,0.118791537,0.097373951,25
Shampoo,0.815811293,0.129567426,0.038037842,30
Toothpaste,0.825540431,0.128923831,0.039404368,25
WashingPowder,0.942430569,0.136350712,0.04073137,15
Sugar,0.902814306,0.130155017,0.043028832,25
Coffee,0.896360355,0.13835837,0.051420803,25
Dal,0.866678542,0.148790005,0.054797809,10
Detergent,0.832097353,0.147805137,0.063594873,40
Butter,0.895640947,0.164014796,0.082995362,40
Spices,0.809230303,0.169480148,0.088989268,40
EdibleOil,0.831943812,0.175747868,0.089138317,30
Paneer,0.897631705,0.198151966,0.025089321,15
Cheese,0.875653334,0.219714405,0.047882882,35
